Age,Gender,Location,Season_Preference,Season_Food_Preference,Mood_Preference,Mood_Food_Preference,Allergies,Allgery_restriction,Diet_Preference,Smell_Preference,Smell_restriction,Cuisine_Fav,Spice_Pref,Has_Food_Allergies,Mood_Spice_preference
25-34,Man,West India,Winter;,continental - during winters,Happy,none,No,,Non-Vegetarian,Yes,Sea Fish,"Continental
Indian
Chinese",spicy,0,none - SpicyÊ
35-44,Woman,North India,Winter;,pad thai noodle for every season,Happy,anything good in taste raj kachori,No,,Vegetarian,Yes,Fish ,"Chinese, kumaoni and Punjabi food",medium spicy,0,anything good in taste raj kachori - Medium-spicy
35-44,Man,South India,Summer,"nonveg (chicken, mutton) , cold drink, ice cream. barbeque",Relaxed,in relax time we always plan for non vegetarian food and cold drink,Yes,Pronce fish ,Ovo-Vegetarians(Egg + Veg),No,,Both veg and non veg,mild,1,in relax time we always plan for non vegetarian food and cold drink - Mild
25-34,Woman,South India,Winter;Rainy;,"rainy and winter season - ice creams, hot fried items, tea, spicy food",Stressed,ice cream,No,,Non-Vegetarian,Yes,Sea Food,"South Indian, Chinese, Italian",medium spicy,0,ice cream - Medium-spicy
25-34,Man,South India,Winter;Rainy;Summer;,biriyani,Relaxed,biriyani,No,,Ovo-Vegetarians(Egg + Veg),Yes,All sea food ,"Biriyani
Fried Chicken
Wraps",mild,0,biriyani - Mild
25-34,Man,South India,Winter;,"winter - veg (bhaji, vada)",No Influence,stressed tea,No,No,Nut-Free,No,,"Chappathi, Doosa and Idly",medium spicy,0,stressed tea - Medium-spicy
25-34,Man,South India,Winter;,hot and spicy items,No Influence,carrot halwa with icecream in happy mood,No,,Non-Vegetarian,No,,"South Indian
North Indian
Chinese ",mild,0,carrot halwa with icecream in happy mood - Mild
35-44,Man,South India,Winter;,"rainy season - vada, bajji and hot tea",Happy,sweets,No,,Vegetarian,Yes,"Dried fish, masala","South Indian, millet based food, rajasthani ",mild,0,sweets - Mild
55-64,Man,South India,No Preference;,spicy foods,No Influence,fast foods,No,,Vegetarian,No,,"South Indian, North Indian & Chinese Cuisine ",spicy,0,fast foods - SpicyÊ
25-34,Man,South India,Winter;,winter - tea with cookies,No Influence,happy briyani,No,,Non-Vegetarian,No,,"Briyani
Curd Rice
Idly
",medium spicy,0,happy briyani - Medium-spicy
35-44,Man,South India,Winter;,rain and romantic,Happy,biriyani,No,,Non-Vegetarian,No,,Turkish Italian and Indian ,spicy,0,biriyani - SpicyÊ
45-54,Woman,South India,No Preference;,"soups in rainy season,juices n icecreams in summer,french fries,samosas in winter",Happy,anything available or freshly cooked,Yes,Milk,Dairy Free,No,,Orientatal or Pan Asian ,spicy,1,anything available or freshly cooked - SpicyÊ
35-44,Man,South India,Winter;,potato bonda,Happy,biryani,No,,Non-Vegetarian,No,None,"Indian, Italian and Korean",spicy,0,biryani - SpicyÊ
35-44,Man,South India,No Preference;,rainy - baji bonda,No Influence,all time chocolates,No,,Non-Vegetarian,No,,"Indian, pan Asian, american",spicy,0,all time chocolates - SpicyÊ
25-34,Woman,South India,Winter;,winter - some hot starters like gobi manchurian,Happy,some hot soups,No,Nope,Vegetarian,No,Nothing like ,"In starters paneer tikka, dishes : malai kofta, hydrabadi biryani",medium spicy,0,some hot soups - Medium-spicy
25-34,Woman,South India,Rainy;,rainy - hot spicy veggie soups,No Influence,mood doesnt influence my food choices,No,,Ovo-Vegetarians(Egg + Veg),Yes,Sea food smell,Indian,spicy,0,mood doesnt influence my food choices - SpicyÊ
45-54,Man,South India,Winter;,local cuisine,Happy,sweet,No,,Vegetarian,No,Non veg ,"Bhakri , bhat , zunka ",spicy,0,sweet - SpicyÊ
